Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,is_holiday,temperature_2m_max,temperature_2m_min,precipitation_sum,total_spend_x,avg_spend_x,purchase_count_x,total_spend_y,avg_spend_y,purchase_count_y,total_spend,avg_spend,purchase_count
32,2023-01-04,cust032,male,30,beauty,3,30,90,0,17.9,9.4,2.3,90,90.0,1,90,90.0,1,90,90.0,1
33,2023-03-23,cust033,female,50,electronics,2,50,100,0,14.8,5.1,2.8,100,100.0,1,100,100.0,1,100,100.0,1
34,2023-12-24,cust034,female,51,clothing,3,50,150,0,8.6,1.2,0.0,150,150.0,1,150,150.0,1,150,150.0,1
35,2023-08-05,cust035,female,58,beauty,3,300,900,0,30.6,18.2,0.2,900,900.0,1,900,900.0,1,900,900.0,1
36,2023-06-24,cust036,male,52,beauty,3,300,900,0,25.6,19.1,18.0,900,900.0,1,900,900.0,1,900,900.0,1
37,2023-05-23,cust037,female,18,beauty,3,25,75,0,19.3,10.7,0.0,75,75.0,1,75,75.0,1,75,75.0,1
38,2023-03-21,cust038,male,38,beauty,4,50,200,0,15.7,-1.1,0.0,200,200.0,1,200,200.0,1,200,200.0,1
39,2023-04-21,cust039,male,23,clothing,4,30,120,0,18.9,8.0,0.0,120,120.0,1,120,120.0,1,120,120.0,1
40,2023-06-22,cust040,male,45,beauty,1,50,50,0,20.9,15.3,0.3,50,50.0,1,50,50.0,1,50,50.0,1
41,2023-02-22,cust041,male,34,clothing,2,25,50,0,5.5,-0.9,4.4,50,50.0,1,50,50.0,1,50,50.0,1
42,2023-02-17,cust042,male,22,clothing,3,300,900,0,15.3,-1.1,8.1,900,900.0,1,900,900.0,1,900,900.0,1
43,2023-07-14,cust043,female,48,clothing,1,300,300,0,28.1,21.2,36.7,300,300.0,1,300,300.0,1,300,300.0,1
44,2023-02-19,cust044,female,22,clothing,1,25,25,0,8.0,-0.5,0.0,25,25.0,1,25,25.0,1,25,25.0,1
45,2023-07-03,cust045,female,55,electronics,1,30,30,0,31.0,22.2,17.8,30,30.0,1,30,30.0,1,30,30.0,1
46,2023-06-26,cust046,female,20,electronics,4,300,1200,0,25.4,19.0,4.6,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
47,2023-11-06,cust047,female,40,beauty,3,500,1500,0,12.0,3.8,0.1,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
48,2023-05-16,cust048,male,54,electronics,3,300,900,0,27.6,12.7,0.0,900,900.0,1,900,900.0,1,900,900.0,1
49,2023-01-23,cust049,female,54,electronics,2,500,1000,0,2.9,0.3,14.4,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
50,2023-08-24,cust050,female,27,beauty,3,25,75,0,24.3,19.4,2.2,75,75.0,1,75,75.0,1,75,75.0,1
51,2023-10-02,cust051,male,27,beauty,3,25,75,0,25.3,14.7,0.0,75,75.0,1,75,75.0,1,75,75.0,1
52,2023-03-05,cust052,female,36,beauty,1,300,300,0,12.1,-0.5,0.0,300,300.0,1,300,300.0,1,300,300.0,1
53,2023-07-13,cust053,male,34,electronics,2,50,100,0,31.8,21.2,0.2,100,100.0,1,100,100.0,1,100,100.0,1
54,2023-02-10,cust054,female,38,electronics,3,500,1500,0,14.0,5.8,0.0,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
55,2023-10-10,cust055,male,31,beauty,4,30,120,0,17.9,7.7,0.0,120,120.0,1,120,120.0,1,120,120.0,1
56,2023-05-31,cust056,female,26,clothing,3,300,900,0,22.5,10.6,0.0,900,900.0,1,900,900.0,1,900,900.0,1
57,2023-11-18,cust057,female,63,beauty,1,30,30,0,12.9,2.7,1.2,30,30.0,1,30,30.0,1,30,30.0,1
58,2023-11-13,cust058,male,18,clothing,4,300,1200,0,8.8,-2.2,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
59,2023-07-05,cust059,male,62,clothing,1,50,50,0,32.2,20.9,0.0,50,50.0,1,50,50.0,1,50,50.0,1
60,2023-10-23,cust060,male,30,beauty,3,50,150,0,16.0,6.4,0.0,150,150.0,1,150,150.0,1,150,150.0,1
61,2023-04-09,cust061,male,21,beauty,4,50,200,0,11.6,1.1,0.0,200,200.0,1,200,200.0,1,200,200.0,1
62,2023-12-27,cust062,male,18,beauty,2,50,100,0,8.9,5.3,6.9,100,100.0,1,100,100.0,1,100,100.0,1
63,2023-02-05,cust063,male,57,electronics,2,25,50,0,9.0,-4.5,0.0,50,50.0,1,50,50.0,1,50,50.0,1
64,2023-01-24,cust064,male,49,clothing,4,25,100,0,7.6,-1.2,0.0,100,100.0,1,100,100.0,1,100,100.0,1
65,2023-12-05,cust065,male,51,electronics,4,500,2000,0,6.5,1.4,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
66,2023-04-27,cust066,female,45,electronics,1,30,30,0,13.4,7.2,0.7,30,30.0,1,30,30.0,1,30,30.0,1
67,2023-05-29,cust067,female,48,beauty,4,300,1200,1,24.6,13.7,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
68,2023-02-10,cust068,male,25,electronics,1,300,300,0,14.0,5.8,0.0,300,300.0,1,300,300.0,1,300,300.0,1
69,2023-04-30,cust069,female,56,beauty,3,25,75,0,14.8,10.4,22.4,75,75.0,1,75,75.0,1,75,75.0,1
70,2023-02-21,cust070,female,43,clothing,1,300,300,0,8.2,1.7,7.1,300,300.0,1,300,300.0,1,300,300.0,1
71,2023-07-14,cust071,female,51,beauty,4,25,100,0,28.1,21.2,36.7,100,100.0,1,100,100.0,1,100,100.0,1
72,2023-05-23,cust072,female,20,electronics,4,500,2000,0,19.3,10.7,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
73,2023-08-21,cust073,male,29,electronics,3,30,90,0,31.0,18.3,0.1,90,90.0,1,90,90.0,1,90,90.0,1
74,2023-11-22,cust074,female,18,beauty,4,500,2000,0,14.3,8.1,22.1,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
75,2023-07-06,cust075,male,61,beauty,4,50,200,0,31.2,21.4,0.0,200,200.0,1,200,200.0,1,200,200.0,1
76,2023-03-25,cust076,female,22,electronics,2,50,100,0,7.4,2.8,11.5,100,100.0,1,100,100.0,1,100,100.0,1
77,2023-07-09,cust077,female,47,clothing,2,50,100,0,26.8,21.4,18.6,100,100.0,1,100,100.0,1,100,100.0,1
78,2023-07-01,cust078,female,47,clothing,3,500,1500,0,26.8,17.6,0.1,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
79,2023-04-18,cust079,male,34,beauty,1,300,300,0,14.3,6.6,0.1,300,300.0,1,300,300.0,1,300,300.0,1
80,2023-12-10,cust080,female,64,clothing,2,30,60,0,16.9,4.9,35.8,60,60.0,1,60,60.0,1,60,60.0,1
81,2023-05-17,cust081,male,40,electronics,1,50,50,0,17.4,9.6,0.0,50,50.0,1,50,50.0,1,50,50.0,1
82,2023-12-26,cust082,female,32,beauty,4,50,200,0,7.6,2.9,0.0,200,200.0,1,200,200.0,1,200,200.0,1
83,2023-12-16,cust083,male,54,electronics,2,50,100,0,11.4,2.8,0.0,100,100.0,1,100,100.0,1,100,100.0,1
84,2023-11-28,cust084,female,38,electronics,3,30,90,0,3.8,-1.9,0.1,90,90.0,1,90,90.0,1,90,90.0,1
85,2023-02-06,cust085,male,31,clothing,3,50,150,0,10.1,-1.1,0.0,150,150.0,1,150,150.0,1,150,150.0,1
86,2023-11-08,cust086,male,19,beauty,3,30,90,0,9.8,3.8,0.0,90,90.0,1,90,90.0,1,90,90.0,1
87,2023-11-22,cust087,female,28,beauty,2,50,100,0,14.3,8.1,22.1,100,100.0,1,100,100.0,1,100,100.0,1
88,2023-03-29,cust088,male,56,clothing,1,500,500,0,10.9,-0.2,0.0,500,500.0,1,500,500.0,1,500,500.0,1
89,2023-10-01,cust089,female,55,electronics,4,500,2000,0,24.9,14.0,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
90,2023-05-06,cust090,female,51,electronics,1,30,30,0,20.9,6.5,0.0,30,30.0,1,30,30.0,1,30,30.0,1
91,2023-03-25,cust091,female,55,electronics,1,500,500,0,7.4,2.8,11.5,500,500.0,1,500,500.0,1,500,500.0,1
92,2023-08-25,cust092,female,51,electronics,4,30,120,0,27.9,20.9,11.1,120,120.0,1,120,120.0,1,120,120.0,1
93,2023-07-14,cust093,female,35,beauty,4,500,2000,0,28.1,21.2,36.7,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
94,2023-05-19,cust094,female,47,beauty,2,500,1000,0,19.4,10.4,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
95,2023-11-24,cust095,female,32,clothing,2,30,60,0,9.7,-0.6,0.0,60,60.0,1,60,60.0,1,60,60.0,1
96,2023-12-19,cust096,female,44,clothing,2,300,600,0,6.0,-1.5,0.0,600,600.0,1,600,600.0,1,600,600.0,1
97,2023-10-13,cust097,female,51,beauty,2,500,1000,0,17.5,8.6,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
98,2023-04-23,cust098,female,55,beauty,2,50,100,0,19.1,9.9,15.9,100,100.0,1,100,100.0,1,100,100.0,1
99,2023-12-17,cust099,female,50,electronics,4,300,1200,0,13.0,5.2,19.8,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
100,2023-06-16,cust100,male,41,electronics,1,30,30,0,25.7,15.0,10.8,30,30.0,1,30,30.0,1,30,30.0,1
101,2023-01-29,cust101,male,32,clothing,2,300,600,0,10.4,0.0,0.0,600,600.0,1,600,600.0,1,600,600.0,1
102,2023-04-28,cust102,female,47,beauty,2,25,50,0,12.9,6.7,9.8,50,50.0,1,50,50.0,1,50,50.0,1
103,2023-01-17,cust103,female,59,clothing,1,25,25,0,7.3,-2.1,1.4,25,25.0,1,25,25.0,1,25,25.0,1
104,2023-06-11,cust104,female,34,beauty,2,500,1000,0,27.0,16.3,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
105,2023-07-25,cust105,female,22,electronics,1,500,500,0,28.6,19.1,9.0,500,500.0,1,500,500.0,1,500,500.0,1
106,2023-05-18,cust106,female,46,clothing,1,50,50,0,14.1,6.7,0.0,50,50.0,1,50,50.0,1,50,50.0,1
107,2023-02-03,cust107,female,21,clothing,4,300,1200,0,0.1,-11.2,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
108,2023-04-19,cust108,female,27,beauty,3,25,75,0,17.4,4.2,0.0,75,75.0,1,75,75.0,1,75,75.0,1
109,2023-10-18,cust109,female,34,electronics,4,500,2000,0,17.1,6.7,0.3,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
110,2023-06-11,cust110,male,27,clothing,3,300,900,0,27.0,16.3,0.0,900,900.0,1,900,900.0,1,900,900.0,1
111,2023-04-19,cust111,female,34,electronics,3,500,1500,0,17.4,4.2,0.0,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
112,2023-12-02,cust112,male,37,clothing,3,500,1500,0,16.1,4.3,0.0,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
113,2023-09-13,cust113,female,41,electronics,2,25,50,0,26.5,19.3,17.1,50,50.0,1,50,50.0,1,50,50.0,1
114,2023-07-22,cust114,female,22,beauty,4,25,100,0,28.3,18.4,0.0,100,100.0,1,100,100.0,1,100,100.0,1
115,2023-11-26,cust115,male,51,clothing,3,500,1500,0,11.8,-2.7,8.4,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
116,2023-08-23,cust116,female,23,clothing,1,30,30,0,25.4,15.9,0.0,30,30.0,1,30,30.0,1,30,30.0,1
117,2023-03-15,cust117,male,19,electronics,2,500,1000,0,6.9,0.7,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
118,2023-05-16,cust118,female,30,electronics,4,500,2000,0,27.6,12.7,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
119,2023-03-13,cust119,female,60,clothing,3,50,150,0,5.8,3.3,18.8,150,150.0,1,150,150.0,1,150,150.0,1
120,2023-05-07,cust120,male,60,beauty,1,50,50,0,23.7,9.2,0.0,50,50.0,1,50,50.0,1,50,50.0,1
121,2023-10-15,cust121,female,28,electronics,4,50,200,0,16.5,8.9,0.9,200,200.0,1,200,200.0,1,200,200.0,1
122,2023-10-03,cust122,male,64,electronics,4,30,120,0,27.3,13.0,0.0,120,120.0,1,120,120.0,1,120,120.0,1
123,2023-05-15,cust123,female,40,electronics,2,30,60,0,25.2,9.6,0.0,60,60.0,1,60,60.0,1,60,60.0,1
124,2023-10-27,cust124,male,33,clothing,4,500,2000,0,24.5,12.3,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
125,2023-08-08,cust125,male,48,clothing,2,50,100,0,27.0,21.5,15.2,100,100.0,1,100,100.0,1,100,100.0,1
126,2023-10-26,cust126,female,28,clothing,3,30,90,0,25.8,9.2,0.0,90,90.0,1,90,90.0,1,90,90.0,1
127,2023-07-24,cust127,female,33,clothing,2,25,50,0,28.6,18.5,1.9,50,50.0,1,50,50.0,1,50,50.0,1
128,2023-07-05,cust128,male,25,beauty,1,500,500,0,32.2,20.9,0.0,500,500.0,1,500,500.0,1,500,500.0,1
129,2023-04-23,cust129,female,21,beauty,2,300,600,0,19.1,9.9,15.9,600,600.0,1,600,600.0,1,600,600.0,1
130,2023-03-12,cust130,female,57,clothing,1,500,500,0,7.7,-1.2,0.0,500,500.0,1,500,500.0,1,500,500.0,1
131,2023-09-18,cust131,female,21,beauty,2,300,600,0,21.4,16.1,13.9,600,600.0,1,600,600.0,1,600,600.0,1
132,2023-09-10,cust132,male,42,electronics,4,50,200,0,24.4,19.5,18.1,200,200.0,1,200,200.0,1,200,200.0,1
133,2023-02-16,cust133,male,20,electronics,3,300,900,0,19.1,9.1,2.9,900,900.0,1,900,900.0,1,900,900.0,1
134,2023-01-25,cust134,male,49,electronics,1,50,50,0,11.3,-2.5,21.6,50,50.0,1,50,50.0,1,50,50.0,1
135,2023-02-26,cust135,male,20,clothing,2,25,50,0,10.1,-3.9,0.0,50,50.0,1,50,50.0,1,50,50.0,1
136,2023-03-20,cust136,male,44,electronics,2,300,600,0,10.6,-3.4,0.0,600,600.0,1,600,600.0,1,600,600.0,1
137,2023-11-18,cust137,male,46,beauty,2,500,1000,0,12.9,2.7,1.2,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
138,2023-03-23,cust138,male,49,clothing,4,50,200,0,14.8,5.1,2.8,200,200.0,1,200,200.0,1,200,200.0,1
139,2023-12-15,cust139,male,36,beauty,4,500,2000,0,12.4,-0.7,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
140,2023-08-05,cust140,male,38,electronics,1,30,30,0,30.6,18.2,0.2,30,30.0,1,30,30.0,1,30,30.0,1
141,2023-11-02,cust141,female,22,electronics,1,50,50,0,9.6,-0.4,0.0,50,50.0,1,50,50.0,1,50,50.0,1
142,2023-02-02,cust142,male,35,electronics,4,300,1200,0,4.0,-4.5,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
143,2023-07-17,cust143,female,45,clothing,1,50,50,0,31.7,19.9,0.1,50,50.0,1,50,50.0,1,50,50.0,1
144,2023-07-15,cust144,female,59,beauty,3,500,1500,0,29.4,20.3,7.9,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
145,2023-11-02,cust145,female,39,clothing,3,25,75,0,9.6,-0.4,0.0,75,75.0,1,75,75.0,1,75,75.0,1
146,2023-08-28,cust146,male,38,clothing,4,50,200,0,24.9,18.8,1.1,200,200.0,1,200,200.0,1,200,200.0,1
147,2023-09-28,cust147,male,23,electronics,1,300,300,0,18.6,10.6,0.2,300,300.0,1,300,300.0,1,300,300.0,1
148,2023-05-09,cust148,male,18,clothing,2,30,60,0,19.2,9.6,0.0,60,60.0,1,60,60.0,1,60,60.0,1
149,2023-10-11,cust149,male,22,clothing,3,25,75,0,20.6,8.0,0.0,75,75.0,1,75,75.0,1,75,75.0,1
150,2023-01-06,cust150,female,58,electronics,4,30,120,0,8.6,2.4,9.6,120,120.0,1,120,120.0,1,120,120.0,1
151,2023-12-15,cust151,male,29,clothing,1,50,50,0,12.4,-0.7,0.0,50,50.0,1,50,50.0,1,50,50.0,1
152,2023-02-28,cust152,male,43,electronics,4,500,2000,0,2.0,-0.8,11.6,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
153,2023-12-16,cust153,male,63,electronics,2,500,1000,0,11.4,2.8,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
154,2023-10-02,cust154,male,51,electronics,3,300,900,0,25.3,14.7,0.0,900,900.0,1,900,900.0,1,900,900.0,1
155,2023-05-17,cust155,male,31,electronics,4,500,2000,0,17.4,9.6,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
156,2023-11-25,cust156,female,43,clothing,4,25,100,0,4.1,-3.2,0.0,100,100.0,1,100,100.0,1,100,100.0,1
157,2023-06-24,cust157,male,62,electronics,4,500,2000,0,25.6,19.1,18.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
158,2023-02-27,cust158,female,44,electronics,2,300,600,0,4.8,-2.3,5.3,600,600.0,1,600,600.0,1,600,600.0,1
159,2023-05-31,cust159,male,26,clothing,4,50,200,0,22.5,10.6,0.0,200,200.0,1,200,200.0,1,200,200.0,1
160,2023-08-11,cust160,female,43,clothing,2,50,100,0,29.1,18.0,0.1,100,100.0,1,100,100.0,1,100,100.0,1
161,2023-03-22,cust161,male,64,beauty,2,500,1000,0,13.2,2.2,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
162,2023-08-21,cust162,male,39,clothing,2,30,60,0,31.0,18.3,0.1,60,60.0,1,60,60.0,1,60,60.0,1
163,2023-01-02,cust163,female,64,clothing,3,50,150,1,12.7,4.4,0.6,150,150.0,1,150,150.0,1,150,150.0,1
164,2023-05-15,cust164,female,47,beauty,3,500,1500,0,25.2,9.6,0.0,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
165,2023-09-14,cust165,female,60,clothing,4,300,1200,0,24.9,16.4,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
166,2023-04-02,cust166,male,34,clothing,4,500,2000,0,9.7,2.4,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
167,2023-09-17,cust167,female,43,clothing,3,50,150,0,24.1,11.7,0.5,150,150.0,1,150,150.0,1,150,150.0,1
168,2023-02-24,cust168,male,53,clothing,1,300,300,0,7.3,-3.2,0.0,300,300.0,1,300,300.0,1,300,300.0,1
169,2023-11-17,cust169,male,18,beauty,3,500,1500,0,19.4,4.2,0.0,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
170,2023-06-02,cust170,female,25,clothing,2,25,50,0,30.6,15.0,0.0,50,50.0,1,50,50.0,1,50,50.0,1
171,2023-11-24,cust171,female,52,clothing,3,300,900,0,9.7,-0.6,0.0,900,900.0,1,900,900.0,1,900,900.0,1
172,2023-09-17,cust172,male,32,beauty,2,25,50,0,24.1,11.7,0.5,50,50.0,1,50,50.0,1,50,50.0,1
173,2023-11-08,cust173,male,64,electronics,4,30,120,0,9.8,3.8,0.0,120,120.0,1,120,120.0,1,120,120.0,1
174,2023-04-12,cust174,female,39,beauty,1,300,300,0,27.4,15.4,0.0,300,300.0,1,300,300.0,1,300,300.0,1
175,2023-03-20,cust175,female,31,electronics,4,25,100,0,10.6,-3.4,0.0,100,100.0,1,100,100.0,1,100,100.0,1
176,2023-07-11,cust176,female,43,beauty,2,50,100,0,31.6,17.0,0.0,100,100.0,1,100,100.0,1,100,100.0,1
177,2023-03-24,cust177,male,45,beauty,2,50,100,0,12.2,5.0,0.2,100,100.0,1,100,100.0,1,100,100.0,1
178,2023-10-04,cust178,male,40,clothing,2,30,60,0,27.7,14.7,0.0,60,60.0,1,60,60.0,1,60,60.0,1
179,2023-09-29,cust179,male,31,electronics,1,300,300,0,17.0,13.1,69.8,300,300.0,1,300,300.0,1,300,300.0,1
180,2023-01-01,cust180,male,41,clothing,3,300,900,0,11.8,4.8,1.1,900,900.0,1,900,900.0,1,900,900.0,1
181,2023-11-03,cust181,male,19,electronics,4,300,1200,0,13.0,0.2,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
182,2023-06-15,cust182,male,62,beauty,4,30,120,0,26.1,14.9,0.0,120,120.0,1,120,120.0,1,120,120.0,1
183,2023-09-08,cust183,female,43,beauty,3,300,900,0,31.6,20.3,14.3,900,900.0,1,900,900.0,1,900,900.0,1
184,2023-01-10,cust184,male,31,electronics,4,50,200,0,6.2,-0.0,0.0,200,200.0,1,200,200.0,1,200,200.0,1
185,2023-02-27,cust185,male,24,clothing,1,25,25,0,4.8,-2.3,5.3,25,25.0,1,25,25.0,1,25,25.0,1
186,2023-07-05,cust186,male,20,clothing,4,50,200,0,32.2,20.9,0.0,200,200.0,1,200,200.0,1,200,200.0,1
187,2023-06-07,cust187,female,64,clothing,2,50,100,0,25.0,13.1,0.0,100,100.0,1,100,100.0,1,100,100.0,1
188,2023-05-03,cust188,male,40,clothing,3,25,75,0,12.4,5.6,0.7,75,75.0,1,75,75.0,1,75,75.0,1
189,2023-01-30,cust189,male,63,beauty,1,50,50,0,11.6,2.3,0.0,50,50.0,1,50,50.0,1,50,50.0,1
190,2023-05-04,cust190,female,60,beauty,3,30,90,0,14.3,6.2,1.9,90,90.0,1,90,90.0,1,90,90.0,1
191,2023-10-18,cust191,male,64,beauty,1,25,25,0,17.1,6.7,0.3,25,25.0,1,25,25.0,1,25,25.0,1
192,2023-02-10,cust192,male,62,beauty,2,50,100,0,14.0,5.8,0.0,100,100.0,1,100,100.0,1,100,100.0,1
193,2023-02-13,cust193,male,35,beauty,3,500,1500,0,13.2,2.4,1.2,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
194,2023-09-06,cust194,male,55,clothing,4,50,200,0,35.8,22.8,0.0,200,200.0,1,200,200.0,1,200,200.0,1
195,2023-02-05,cust195,male,52,clothing,1,30,30,0,9.0,-4.5,0.0,30,30.0,1,30,30.0,1,30,30.0,1
196,2023-09-30,cust196,female,32,clothing,3,300,900,0,21.6,12.9,1.0,900,900.0,1,900,900.0,1,900,900.0,1
197,2023-03-06,cust197,female,42,clothing,4,50,200,0,10.1,1.3,0.0,200,200.0,1,200,200.0,1,200,200.0,1
198,2023-03-07,cust198,female,54,beauty,3,300,900,0,7.3,0.5,2.7,900,900.0,1,900,900.0,1,900,900.0,1
199,2023-12-04,cust199,male,45,beauty,3,500,1500,0,10.8,4.1,0.0,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
200,2023-09-01,cust200,male,27,beauty,3,50,150,0,24.3,13.6,0.0,150,150.0,1,150,150.0,1,150,150.0,1
201,2023-10-09,cust201,male,56,electronics,1,25,25,1,15.5,7.2,0.1,25,25.0,1,25,25.0,1,25,25.0,1
202,2023-03-26,cust202,female,34,clothing,4,300,1200,0,14.9,3.1,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
203,2023-05-16,cust203,male,56,clothing,2,500,1000,0,27.6,12.7,0.0,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
204,2023-09-28,cust204,male,39,beauty,1,25,25,0,18.6,10.6,0.2,25,25.0,1,25,25.0,1,25,25.0,1
205,2023-11-07,cust205,female,43,clothing,1,25,25,0,20.2,10.7,5.7,25,25.0,1,25,25.0,1,25,25.0,1
